사번,성명,본부,팀,직군,직급레벨,성과등급,나이,근속연수(년),연봉(원),인재등급,핵심인재점수,퇴직위험도,퇴직위험예측확률,위험요인
SKFNB0242,최성민,구미공장,구미생산1팀,M,5.0,S,48,15,62304000,Critical,199,15,0.0013141319676124223,초과근무높음
SKFNB0194,최준호,구미공장,구미생산2팀,U,5.0,S,45,16,94406000,Critical,197,35,0.002535423975612936,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0247,오채원,전주공장,전주생산3팀,M,5.0,S,38,13,53407000,Critical,195,25,0.0014841187220923221,초과근무과다
SKFNB0327,박은우,전주공장,전주생산3팀,M,5.0,S,48,13,61037000,Critical,195,15,0.001934674615921899,초과근무높음
SKFNB0435,박지훈,전주공장,전주생산1팀,M,5.0,S,33,8,50635000,Critical,194,35,0.002405166405089821,"초과근무과다, 보상조정없음"
SKFNB0759,강현우,구미공장,구미생산2팀,M,5.0,S,42,4,48418000,Critical,193,45,0.0014858719222150846,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0575,임수현,구미공장,구미생산3팀,U,4.0,S,30,5,48972000,Critical,193,35,0.0007320131730970368,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0839,조우진,전주공장,전주생산2팀,M,4.0,S,31,2,40550000,Critical,192,35,0.0027452919572415143,"초과근무과다, 보상조정없음"
SKFNB0289,정지환,구미공장,구미생산1팀,U,5.0,S,42,14,77088000,Critical,191,35,0.002535423975612936,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0845,최나윤,전주공장,전주생산2팀,M,5.0,S,37,1,40075000,Critical,191,45,0.002150644390981257,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0209,권준호,구미공장,구미운영팀,M,5.0,S,48,15,62304000,Critical,191,25,0.002535423975612936,"초과근무높음, 연차적게사용"
SKFNB0364,홍가은,사업전략본부,CS팀,U,5.0,S,35,10,61600000,Critical,190,35,0.002535423975612936,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0281,김유준,유통본부,S&OP수요기획팀,U,5.0,S,49,14,77088000,Critical,190,25,0.0007560772359681491,"초과근무높음, 보상조정없음"
SKFNB0441,류수빈,유통본부,S&OP수요기획팀,U,5.0,S,40,10,73920000,Critical,188,35,0.000990561924061999,"초과근무과다, 보상조정없음"
SKFNB0354,김시우,전주공장,전주생산1팀,M,5.0,S,46,12,60403000,Critical,188,35,0.0018468798852885914,"초과근무과다, 연차적게사용"
SKFNB0255,류준우,구미공장,구미생산3팀,M,5.0,S,39,14,53962000,Critical,188,45,0.0020064609918394372,"초과근무과다, 연차적게사용, 보상조정없음"
SKFNB0830,김서준,AI/DT조직,Data운영팀,U,4.0,S,29,2,47309000,Critical,187,25,0.0004969087346600339,"초과근무높음, 보상조정없음"
SKFNB0573,장민재,경영지원본부,전략팀,U,4.0,S,47,8,60280000,Critical,186,25,0.0022819252170820964,"초과근무높음, 연차적게사용"
SKFNB0534,이나윤,유통본부,물류센터운영팀,U,4.0,S,35,9,60940000,Critical,185,35,0.0020991541751419025,"초과근무높음, 연차적게사용, 보상조정없음"
SKFNB0021,조준호,구미공장,구미운영팀,M,5.0,S,52,25,80080000,Critical,184,35,0.002304320911415436,"초과근무과다, 보상조정없음"
SKFNB0833,한예은,유통본부,품질팀,U,4.0,S,25,0,46200000,Critical,184,20,0.0020212404515503944,"연차적게사용, 보상조정없음"
SKFNB0030,홍준호,구미공장,구미운영팀,M,5.0,S,58,24,79341000,Critical,183,35,0.0020866130436728563,"초과근무과다, 보상조정없음"
SKFNB0873,오서윤,AI/DT조직,AI기획팀,U,3.0,S,36,1,46754000,Critical,179,55,0.7417319955989051,"초과근무과다, 연차미사용, 보상조정없음"
SKFNB0662,오준우,경영지원본부,본부장실,Executive,,S,25,0,39600000,Critical,179,25,0.0021041262163428802,"초과근무높음, 연차적게사용"
SKFNB0986,안서윤,사업전략본부,대외협력팀,U,3.0,S,30,0,46200000,Critical,178,15,0.0015526507314154914,초과근무높음
SKFNB0970,조수빈,경영지원본부,경영기획팀,U,3.0,S,27,0,46200000,Critical,173,45,0.008979788718318437,"초과근무높음, 연차미사용, 보상조정없음"
